store,name,sales,price
vivo官方旗舰店,vivoiQOONeo855,8000,2098
vivo官方旗舰店,vivoiQOONeo855,2566,2598
华为官方旗舰店,Huawei/华为nova6SE,10000,2199
华为官方旗舰店,Huawei/华为P30Pro,8500,4488
苏宁易购官方旗舰店,Apple/苹果iPhoneXR,6500,4588
小米官方旗舰店,红米note8pro6400,10000,1199
oppo官方旗舰店,OPPORenoAce,5500,2999
中国移动官方旗舰店,Apple/苹果iPhoneXR,132,4468
三际数码官方旗舰店,OPPOReno3Proopporeno3pro5g,423,3999
三际数码官方旗舰店,Huawei/华为Mate20,704,2699
oppo官方旗舰店,OPPORenoopporeno,442,2499
广东电信亿品汇专卖店,Huawei/华为Mate305G,384,4999
广东电信亿品汇专卖店,Huawei/华为nova65G,408,3199
京合旗舰店,Huawei/华为nova65G,308,3199
京合旗舰店,Huawei/华为Mate30pro,264,6399
蓝港数码专营店,Huawei/华为nova5Pro,1260,2699
蓝港数码专营店,Huawei/华为Mate30,441,3999
能良数码官方旗舰店,Apple/苹果iPhone11,592,5250
魅族官方旗舰店,Meizu/魅族16th,772,1598
heatlinda,红米8a,786,528
一加创华威专卖店,一加7,258,2599
魅族官方旗舰店,Meizu/魅族16th,772,1598
华为莫问专卖店,Huawei/华为Mate305Gmate30pro5G,352,4999
oksj数码旗舰店,Apple/苹果iPhone11,133,5388
能良数码官方旗舰店,OPPOReno3Proopporeno3pro5g,189,3999
晨曦爱森林浴,Apple/苹果iPhoneX,1409,2170
博海宇通数码专营店,Huawei/华为畅享9,5000,749
realme官方旗舰店,realme真我X2Pro256G,139,2999
sayhay自营店,Apple/苹果iPhone11ProMax,1537,3530
电子世界show,Apple/苹果iPhone8Plus,809,2130
博盛景数码专营店,Apple/苹果iPhoneXSMaxiPhonexsmax12,122,5999
时尚华尔,Apple/苹果iPhone11ProMax,345,3488
时尚麻豆家企业店铺,Apple/苹果iPhone8Plus,5000,2400
realme官方旗舰店,realme真我Q,3061,948
中华淘购网店,Apple/苹果iPhone11ProMax,839,3498
陶开红,Apple/苹果iPhoneXR,184,3470
子轩_果果,Apple/苹果iPhoneXSMax,4354,3280
魅族官方旗舰店,Meizu/魅族16thPlus,610,1798
时尚名媛品牌店,Apple/苹果iPhoneX,2494,2228
唯美气质淑女日韩馆,Apple/苹果iPhone7Plus,10000,1800
博盛景数码专营店,Apple/苹果iPhone11Pro,83,8058
vivo官方旗舰店,vivoiQOOPro,1787,2898
vivo官方旗舰店,vivoZ5,10000,1398
华为官方旗舰店,Huawei/华为Mate30,10000,3999
苏宁易购官方旗舰店,Apple/苹果iPhone11ProMax,4047,9599
苏宁易购官方旗舰店,Huawei/华为P30Pro,2489,4488
华为官方旗舰店,Huawei/华为nova5i,3782,1799
中国移动官方旗舰店,honor/荣耀20PRO,328,2699
oppo官方旗舰店,OPPOReno2,1276,2999
oppo官方旗舰店,OPPOA91,279,1999
京合旗舰店,honor/荣耀20,2256,1099
蓝港数码专营店,Huawei/华为nova65G,274,3199
能良数码官方旗舰店,Huawei/华为Nova65G,244,3199
京合旗舰店,Huawei/华为畅享10plus,3267,1199
博盛景数码专营店,Apple/苹果iPhone11Pro,83,8058
