store,name,sales,price
Apple产品京东自营旗舰店,AppleiPhoneXS 512G,2127,7099
vivo官方旗舰店,vivoZ5x 64G,6297,1198
vivo官方旗舰店,vivoZ5x 64G,10886,1198
vivo官方旗舰店,vivoZ5x 64G,0,1198
vivo官方旗舰店,vivoZ5x 64G,3626,1198
,OPPOReno3Pro 256G,0,4499
realme真我京东自营旗舰店,realmeQ 64G,17029,1298
realme真我京东自营旗舰店,realmeQ 64G,4879,1298
Apple产品京东自营旗舰店,AppleiPhoneXS 512G,2002,6849
vivo官方旗舰店,vivoZ5x 128G,4524,1298
vivo官方旗舰店,vivoZ5x 128G,9511,1298
vivo官方旗舰店,vivoZ5x 128G,3510,1298
vivo官方旗舰店,vivoZ5x 128G,5360,1298
realme真我京东自营旗舰店,realmeQ 128G,11821,1598
realme真我京东自营旗舰店,realmeQ 128G,3137,1598
vivo官方旗舰店,vivoZ5x 128G,47,1498
vivo官方旗舰店,vivoZ5x 128G,2591,1498
vivo官方旗舰店,vivoZ5x 128G,1457,1498
vivo官方旗舰店,vivoZ5x 128G,2306,1498
OPPO墨白专卖店,OPPOOPPOReno3pro 5G,0,3699
OPPO墨白专卖店,OPPOOPPOReno3pro 5G,1,3399
OPPO墨白专卖店,OPPOOPPOReno3pro 5G,0,3799
OPPO墨白专卖店,OPPOOPPOReno3pro 5G,0,3699
OPPO墨白专卖店,OPPOOPPOReno3pro 5G,25,3999
疆界互联旗舰店,红米Note8pro6400 128G,259,1399
疆界互联旗舰店,红米K30 128G,117,1699
OPPO墨白专卖店,OPPOOPPOReno3pro 5G,0,4299
疆界互联旗舰店,红米Note8pro6400 128G,565,1458
疆界互联旗舰店,红米K30 128G,39,1899
OPPO墨白专卖店,OPPOOPPOReno3pro 5G,5,3999
疆界互联旗舰店,红米Note8pro6400 128G,241,1379
OPPO墨白专卖店,OPPOOPPOReno3pro 5G,1,3699
疆界互联旗舰店,红米K30 128G,31,1699
疆界互联旗舰店,红米Note8pro6400 128G,724,1379
vivo官方旗舰店,vivoiQOONeo855 128G,196,2398
疆界互联旗舰店,红米K30 128G,169,1709
疆界互联旗舰店,荣耀play3 64G,200,789
疆界互联旗舰店,红米Note8pro6400 64G,93,1238
疆界互联旗舰店,红米K30 256G,16,2199
OPPO墨白专卖店,OPPOOPPOReno3pro 5G,0,4099
疆界互联旗舰店,红米Note8pro6400 128G,637,1458
OPPO墨白专卖店,OPPOOPPOReno3pro 5G,0,3799
疆界互联旗舰店,红米K30 128G,15,1899
疆界互联旗舰店,红米Note8pro6400 128G,1793,1438
vivo官方旗舰店,vivoiQOONeo855 128G,163,2798
疆界互联旗舰店,红米K30 128G,59,1899
疆界互联旗舰店,荣耀play3 64G,699,789
疆界互联旗舰店,荣耀play3 64G,0,1099
疆界互联旗舰店,荣耀play3 64G,557,789
