store,name,sales,price
旭远数码专营店,Huawei/华为Mate305G,122,"3999.00
"
绿森数码官方旗舰店,Apple/苹果iPhone11Pro2019,400,"8699.00
"
小唐1688,Apple/苹果iPhoneXR,4092,"3150.00
"
vivo衡视专卖店,vivoiQOOPro5G,473,"3498.00
"
vivo天诚专卖店,vivoX305G,494,"3298.00
"
vivo衡视专卖店,vivoiQOOPro5G,473,"3498.00
"
vivo天诚专卖店,vivoX305G,494,"3298.00
"
能良数码官方旗舰店,vivoX305G,307,"3298.00
"
因尔科技,Apple/苹果iPhoneX,3301,"2120.00
"
牛皮匠鞋坊,Apple/苹果iPhone8,743,"2077.02
"
京合旗舰店,Huawei/华为Nova6SE,347,"2199.00
"
翼天下天翼电信旗舰店,Apple/苹果iPhone11,111,"5149.00
"
fashino小怪,Apple/苹果iPhone7,402,"1600.00
"
vivo欧曙专卖店,vivoX305g,436,"3298.00
"
魅族官方旗舰店,Meizu/魅族16Xs,757,"1499.00
"
轻松换数码旗舰店,Apple/苹果iPhone11,718,"5088.00
"
卓瓦数码专营店,Apple/苹果iPhoneXSMax,100,"6599.00
"
oppo平实专卖店,OPPOReno3Proopporeno3pro5g,207,"3999.00
"
vivo官方旗舰店,vivoiQOONeo855,8000,"2098.00
"
vivo官方旗舰店,vivoiQOONeo855,2566,"2598.00
"
华为官方旗舰店,Huawei/华为nova6SE,10000,"2199.00
"
华为官方旗舰店,Huawei/华为P30Pro,8500,"4488.00
"
苏宁易购官方旗舰店,Apple/苹果iPhoneXR,6500,"4588.00
"
小米官方旗舰店,红米note8pro6400,10000,"1199.00
"
oppo官方旗舰店,OPPORenoAce,5500,"2999.00
"
中国移动官方旗舰店,Apple/苹果iPhoneXR,132,"4468.00
"
三际数码官方旗舰店,OPPOReno3Proopporeno3pro5g,423,"3999.00
"
三际数码官方旗舰店,Huawei/华为Mate20,704,"2699.00
"
oppo官方旗舰店,OPPORenoopporeno,442,"2499.00
"
广东电信亿品汇专卖店,Huawei/华为Mate305G,384,"4999.00
"
广东电信亿品汇专卖店,Huawei/华为nova65G,408,"3199.00
"
京合旗舰店,Huawei/华为nova65G,308,"3199.00
"
京合旗舰店,Huawei/华为Mate30pro,264,"6399.00
"
蓝港数码专营店,Huawei/华为nova5Pro,1260,"2699.00
"
蓝港数码专营店,Huawei/华为Mate30,441,"3999.00
"
能良数码官方旗舰店,Apple/苹果iPhone11,592,"5250.00
"
魅族官方旗舰店,Meizu/魅族16th,772,"1598.00
"
heatlinda,红米8a,786,"528.00
"
一加创华威专卖店,一加7,258,"2599.00
"
魅族官方旗舰店,Meizu/魅族16th,772,"1598.00
"
华为莫问专卖店,Huawei/华为Mate305Gmate30pro5G,352,"4999.00
"
